Colour,Cell_Cycle_Cat,Cell_Cycle_Number,Gene_Induction,chromosome,description,type_of_gene,Class
Green,05-Dec,12,0,2,homeobox-leucine zipper protein ATHB-14,protein-coding,Plant
Green,13-20,16,1,2,probable lysine-specific demethylase JMJ14,protein-coding,Plant
Green,21-28,27,1,2,subtilisin-like protease SBT5.3,protein-coding,Plant
Green,13-20,19,1,9,"3-ketoacyl-CoA thiolase 2, peroxisomal",protein-coding,Plant
Yellow,05-Dec,9,1,2,probable protein S-acyltransferase 7,protein-coding,Plant
Yellow,21-28,23,0,2,uncharacterized LOC102607602,ncRNA,Plant
Green,05-Dec,11,0,9,carboxylesterase 1-like,protein-coding,Plant
Green,05-Dec,11,0,9,25.3 kDa vesicle transport protein,protein-coding,Plant
Red,05-Dec,11,0,9,uncharacterized LOC102607605,protein-coding,Plant
Yellow,13-20,13,1,9,"ATP-dependent zinc metalloprotease FTSH 11, chloroplastic/mitochondrial",protein-coding,Plant
Yellow,13-20,17,0,2,uncharacterized LOC102607607,ncRNA,Plant
Green,13-20,17,0,2,"ribonuclease E/G-like protein, chloroplastic",protein-coding,Plant
Green,13-20,16,1,Un,uncharacterized LOC102607609,protein-coding,Plant
Green,05-Dec,6,0,2,uncharacterized LOC102607610,ncRNA,Plant
Green,13-20,20,0,Un,probable methyltransferase PMT7,protein-coding,Plant
Green,13-20,18,0,Un,uncharacterized LOC102607613,protein-coding,Plant
Yellow,13-20,18,1,3,two-component response regulator ARR12,protein-coding,Plant
Green,13-20,18,1,3,putative pentatricopeptide repeat-containing protein At2g02150,protein-coding,Plant
Yellow,05-Dec,8,1,3,DNA (cytosine-5)-methyltransferase 1B-like,protein-coding,Plant
Green,05-Dec,5,1,3,elongation of fatty acids protein A-like,protein-coding,Plant
Green,21-28,25,1,Un,meiosis-specific protein ASY3,protein-coding,Plant
Green,13-20,20,1,3,probable disease resistance RPP8-like protein 2,protein-coding,Plant
Green,05-Dec,5,1,3,uncharacterized protein At1g08160-like,protein-coding,Plant
Green,05-Dec,8,0,Un,cyclin-dependent kinase F-4-like,protein-coding,Plant
Green,13-20,15,1,3,formin-like protein 14,protein-coding,Plant
Green,05-Dec,7,1,Un,receptor-like protein kinase,protein-coding,Plant
Green,21-28,22,0,3,root phototropism protein 3-like,protein-coding,Plant
Green,05-Dec,11,1,Un,UDP-arabinopyranose mutase 1-like,protein-coding,Plant
Green,21-28,26,1,3,uncharacterized LOC102607628,protein-coding,Plant
Red,13-20,20,1,3,lecithin-cholesterol acyltransferase-like 1,protein-coding,Plant
Green,21-28,25,0,Un,splicing factor 3A subunit 2,protein-coding,Plant
Green,13-20,18,1,3,vacuolar protein sorting-associated protein 9A-like,protein-coding,Plant
Yellow,13-20,19,0,Un,wall-associated receptor kinase 2-like,protein-coding,Plant
Green,13-20,18,1,3,probable choline kinase 3,protein-coding,Plant
Green,13-20,13,0,Un,galactoside 2-alpha-L-fucosyltransferase-like,protein-coding,Plant
Green,13-20,19,0,3,SWI/SNF complex subunit SWI3B,protein-coding,Plant
Green,13-20,16,1,4,probable WRKY transcription factor 32,protein-coding,Plant
Green,05-Dec,5,1,4,xyloglucan endotransglucosylase/hydrolase protein 24,protein-coding,Plant
Green,05-Dec,7,0,4,feruloyl CoA ortho-hydroxylase 1-like,protein-coding,Plant
Green,13-20,15,0,4,EIN3-binding F-box protein 1,protein-coding,Plant
Yellow,13-20,15,1,4,putative pentatricopeptide repeat-containing protein At4g17915,protein-coding,Plant
Yellow,21-28,23,0,5,uncharacterized LOC102607643,pseudo,Plant
Green,05-Dec,7,0,5,deoxyribodipyrimidine photo-lyase,protein-coding,Plant
Yellow,05-Dec,9,0,5,uncharacterized LOC102607645,ncRNA,Plant
Green,13-20,18,0,5,L-type lectin-domain containing receptor kinase VIII.2-like,pseudo,Plant
Green,13-20,13,0,5,topless-related protein 4-like,protein-coding,Plant
Green,05-Dec,7,0,5,uncharacterized LOC102607648,protein-coding,Plant
Green,13-20,19,1,5,transcription elongation factor TFIIS-like,protein-coding,Plant
Green,13-20,20,1,5,E3 ubiquitin-protein ligase RNF4,protein-coding,Plant
Green,05-Dec,7,1,5,18.3 kDa class I heat shock protein-like,protein-coding,Plant
Green,21-28,23,0,5,protein CHROMATIN REMODELING 8,protein-coding,Plant
Green,05-Dec,5,0,5,glutaredoxin-C11,protein-coding,Plant
Green,13-20,18,1,5,B3 domain-containing transcription factor VRN1-like,protein-coding,Plant
Green,05-Dec,7,0,5,"probable folate-biopterin transporter 8, chloroplastic",protein-coding,Plant
Yellow,13-20,16,0,6,ADP-ribosylation factor-like,protein-coding,Plant
Green,13-20,20,1,6,uncharacterized LOC102607657,protein-coding,Plant
Green,13-20,19,1,6,uncharacterized LOC102607658,protein-coding,Plant
Red,13-20,19,0,6,dihydroneopterin aldolase 1,protein-coding,Plant
Green,13-20,14,0,6,cytochrome P450 94C1-like,protein-coding,Plant
Green,05-Dec,7,0,6,"ankyrin repeat domain-containing protein EMB506, chloroplastic",protein-coding,Plant
Green,05-Dec,9,0,7,N-terminal acetyltransferase A complex catalytic subunit NAA10,protein-coding,Plant
Red,13-20,20,0,7,UDP-galactose/UDP-glucose transporter 7,protein-coding,Plant
Green,13-20,16,0,7,serine/threonine-protein kinase prpf4B,protein-coding,Plant
Yellow,13-20,20,1,7,"dihydrolipoyllysine-residue acetyltransferase component 1 of pyruvate dehydrogenase complex, mitochondrial",protein-coding,Plant
Green,05-Dec,9,1,7,RNA pseudouridine synthase 5,protein-coding,Plant
Yellow,05-Dec,10,0,1,uncharacterized LOC102607669,protein-coding,Plant
Green,05-Dec,6,1,7,zinc finger protein ZAT9-like,protein-coding,Plant
Yellow,05-Dec,7,0,1,vacuolar protein sorting-associated protein 20 homolog 1-like,protein-coding,Plant
Yellow,05-Dec,12,1,1,mitogen-activated protein kinase kinase kinase 3,protein-coding,Plant
Yellow,13-20,20,1,8,myb-related protein 308,protein-coding,Plant
Yellow,13-20,13,0,8,hypothetical protein,protein-coding,Plant
Green,05-Dec,11,1,1,ubiquitin carboxyl-terminal hydrolase 17,protein-coding,Plant
Green,05-Dec,7,1,1,"glucan endo-1,3-beta-glucosidase 13",protein-coding,Plant
Green,13-20,13,0,8,"small RNA-binding protein 11, chloroplastic-like",protein-coding,Plant
Green,05-Dec,12,0,1,bifunctional nuclease 2,protein-coding,Plant
Green,13-20,18,0,9,uncharacterized LOC102607681,protein-coding,Plant
Green,21-28,26,0,9,"lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",protein-coding,Plant
Green,21-28,23,1,2,protein MOTHER of FT and TFL1,protein-coding,Plant
Green,13-20,17,0,2,MAG2-interacting protein 2,protein-coding,Plant
Green,13-20,13,1,2,receptor-like protein kinase 2,protein-coding,Plant
Green,05-Dec,8,1,9,heterogeneous nuclear ribonucleoprotein 1,protein-coding,Plant
Green,05-Dec,9,1,2,"phosphatidate cytidylyltransferase, mitochondrial",protein-coding,Plant
Green,21-28,22,0,9,receptor protein kinase-like protein ZAR1,protein-coding,Plant
Yellow,05-Dec,6,1,2,"protein CONSERVED ONLY IN THE GREEN LINEAGE 160, chloroplastic",protein-coding,Plant
Yellow,13-20,13,0,2,autophagy-related protein 8C,protein-coding,Plant
Green,05-Dec,5,1,2,triacylglycerol lipase 2-like,protein-coding,Plant
Red,21-28,23,1,Un,hypothetical protein,protein-coding,Plant
Yellow,05-Dec,12,1,2,serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' theta isoform-like,protein-coding,Plant
Green,13-20,16,1,Un,probable serine/threonine-protein kinase WNK10,protein-coding,Plant
Green,21-28,22,1,Un,NAC domain-containing protein 71-like,protein-coding,Plant
Green,13-20,20,1,2,WAT1-related protein At4g15540-like,protein-coding,Plant
Yellow,05-Dec,8,1,Un,uncharacterized LOC102607698,protein-coding,Plant
Green,13-20,13,1,2,scarecrow-like protein 3,protein-coding,Plant
Yellow,13-20,18,1,3,uncharacterized LOC102607701,ncRNA,Plant
Yellow,13-20,18,0,Un,hypothetical protein,protein-coding,Plant
Green,13-20,17,1,3,sodium channel and clathrin linker 1-like,protein-coding,Plant
Green,13-20,17,1,Un,putative aminoacrylate hydrolase RutD,protein-coding,Plant
Yellow,21-28,23,0,Un,uncharacterized LOC102607707,protein-coding,Plant
Green,13-20,15,1,3,zinc-finger homeodomain protein 2,protein-coding,Plant
Yellow,05-Dec,11,1,Un,uncharacterized LOC102607709,ncRNA,Plant
Green,13-20,13,0,3,synaptonemal complex protein 1-like,protein-coding,Plant
Green,13-20,16,1,Un,nuclear transcription factor Y subunit B-3-like,protein-coding,Plant
Green,05-Dec,11,1,3,G-type lectin S-receptor-like serine/threonine-protein kinase At1g34300,protein-coding,Plant
Green,21-28,23,1,Un,G-type lectin S-receptor-like serine/threonine-protein kinase LECRK3,pseudo,Plant
Green,21-28,23,1,3,serine/threonine-protein kinase BSK1,protein-coding,Plant
Yellow,05-Dec,6,0,3,increased DNA methylation 3,protein-coding,Plant
Green,05-Dec,5,0,4,tetraspanin-8,protein-coding,Plant
Green,21-28,28,0,Un,uncharacterized LOC102607719,protein-coding,Plant
Green,13-20,16,1,Un,uncharacterized LOC102607720,protein-coding,Plant
Yellow,05-Dec,9,1,4,microtubule-associated protein futsch,protein-coding,Plant
Yellow,13-20,16,0,Un,uncharacterized LOC102607722,protein-coding,Plant
Yellow,21-28,24,0,4,"glucan endo-1,3-beta-glucosidase 5-like",protein-coding,Plant
Green,13-20,18,0,4,pollen receptor-like kinase 3,protein-coding,Plant
Green,13-20,19,0,Un,uncharacterized LOC102607725,ncRNA,Plant
Green,05-Dec,11,0,Un,uncharacterized LOC102607726,ncRNA,Plant
Yellow,13-20,20,0,4,uncharacterized LOC102607727,pseudo,Plant
Yellow,13-20,17,0,4,autophagy-related protein 18f,protein-coding,Plant
Yellow,05-Dec,9,0,4,calcium/calmodulin-regulated receptor-like kinase 1,protein-coding,Plant
Yellow,13-20,19,0,4,hypothetical protein,protein-coding,Plant
Green,13-20,18,0,5,uncharacterized LOC102607731,ncRNA,Plant
Yellow,13-20,15,1,5,uncharacterized LOC102607732,protein-coding,Plant
Green,13-20,14,1,5,E3 ubiquitin-protein ligase RNF181-like,protein-coding,Plant
Red,13-20,16,0,5,uncharacterized LOC102607734,protein-coding,Plant
Green,13-20,15,1,5,cytochrome P450 71A1-like,protein-coding,Plant
Green,13-20,20,1,5,"transcription termination factor MTERF15, mitochondrial",protein-coding,Plant
Green,05-Dec,8,1,5,mitochondrial import receptor subunit TOM7-1,protein-coding,Plant
Green,05-Dec,10,0,5,"persulfide dioxygenase ETHE1 homolog, mitochondrial",protein-coding,Plant
Green,05-Dec,12,1,5,reticuline oxidase-like,protein-coding,Plant
Red,13-20,17,0,5,"thioredoxin-like 1-1, chloroplastic",protein-coding,Plant
Yellow,13-20,20,0,5,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit wdr4,protein-coding,Plant
Red,21-28,22,0,5,exosome complex component RRP4 homolog,protein-coding,Plant
Green,05-Dec,6,1,6,LIMR family protein At5g01460,protein-coding,Plant
Green,05-Dec,5,1,6,probable protein phosphatase 2C 65,protein-coding,Plant
Yellow,13-20,20,0,6,uncharacterized LOC102607747,protein-coding,Plant
Green,05-Dec,7,0,6,UBP1-associated protein 2A,protein-coding,Plant
Yellow,13-20,17,1,6,double-stranded RNA-binding protein 4-like,protein-coding,Plant
Green,05-Dec,11,1,6,binding partner of ACD11 1-like,protein-coding,Plant
Red,13-20,13,0,6,"AAA-ATPase ASD, mitochondrial-like",pseudo,Plant
Green,13-20,16,0,7,cell division cycle and apoptosis regulator protein 1,protein-coding,Plant
Green,21-28,27,1,7,muscle M-line assembly protein unc-89,protein-coding,Plant
Green,13-20,18,1,7,lipase,protein-coding,Plant
Green,13-20,17,0,7,cytochrome P450 86B1,protein-coding,Plant
Green,05-Dec,7,1,7,uncharacterized LOC102607756,ncRNA,Plant
Yellow,13-20,19,0,7,probable xyloglucan glycosyltransferase 6,protein-coding,Plant
Green,13-20,17,0,7,GDSL esterase/lipase At5g22810,protein-coding,Plant
Green,13-20,17,1,7,FT-interacting protein 1,protein-coding,Plant
Green,21-28,26,0,7,glutathione S-transferase L3,protein-coding,Plant
Green,13-20,14,1,1,uncharacterized LOC102607763,ncRNA,Plant
Green,13-20,14,0,8,"mitochondrial phosphate carrier protein 1, mitochondrial",protein-coding,Plant
Green,05-Dec,8,0,8,lysine histidine transporter-like 8,protein-coding,Plant
Green,13-20,20,0,8,zinc finger protein ZAT3,protein-coding,Plant
Green,05-Dec,6,1,1,E3 ubiquitin-protein ligase At1g12760,protein-coding,Plant
Yellow,21-28,21,0,8,"glucan endo-1,3-beta-glucosidase 7",protein-coding,Plant
Green,13-20,13,1,1,casein kinase 1-like protein HD16,protein-coding,Plant
Green,13-20,14,1,1,uncharacterized LOC102607771,protein-coding,Plant
Green,13-20,19,0,1,probable basic-leucine zipper transcription factor E,protein-coding,Plant
Green,13-20,20,0,1,uncharacterized LOC102607774,ncRNA,Plant
Yellow,13-20,13,1,8,uncharacterized LOC102607775,ncRNA,Plant
Green,13-20,18,0,1,probable hexokinase-like 2 protein,protein-coding,Plant
Green,05-Dec,10,1,8,protein-lysine methyltransferase METTL21D,protein-coding,Plant
Green,13-20,17,1,8,reticulon-like protein B21,protein-coding,Plant
Green,13-20,18,0,8,osmotin-like protein,protein-coding,Plant
Green,13-20,17,1,1,WUSCHEL-related homeobox 13,protein-coding,Plant
Green,21-28,28,1,8,ethylene-overproduction protein 1,protein-coding,Plant
Green,13-20,15,1,9,guanosine deaminase,protein-coding,Plant
Green,05-Dec,12,0,9,protein PIF,protein-coding,Plant
Green,05-Dec,6,0,2,nucleobase-ascorbate transporter 2,protein-coding,Plant
Yellow,13-20,18,1,9,pentatricopeptide repeat-containing protein At5g18950,protein-coding,Plant
Green,13-20,19,0,9,basic 7S globulin-like,pseudo,Plant
Green,13-20,16,0,9,late embryogenesis abundant protein D-34-like,protein-coding,Plant
Yellow,21-28,23,0,9,pre-mRNA-splicing factor SLU7-like,protein-coding,Plant
Green,05-Dec,5,0,2,non-specific lipid-transfer protein 2,protein-coding,Plant
Yellow,13-20,14,1,9,uncharacterized LOC102607791,ncRNA,Plant
Yellow,13-20,14,1,2,exocyst complex component EXO70B1,protein-coding,Plant
Green,05-Dec,9,0,2,uncharacterized LOC102607793,ncRNA,Plant
Green,05-Dec,8,1,9,probable RNA-binding protein 18,protein-coding,Plant
Green,13-20,17,1,2,uncharacterized LOC102607795,protein-coding,Plant
Green,13-20,16,0,Un,serine/threonine-protein kinase Aurora-3,protein-coding,Plant
Green,21-28,28,1,2,uncharacterized GPI-anchored protein At4g28100,protein-coding,Plant
Green,13-20,14,1,2,squamosa promoter-binding protein 1-like,protein-coding,Plant
Green,13-20,16,1,2,hypothetical protein,protein-coding,Plant
Yellow,13-20,17,1,2,"pentatricopeptide repeat-containing protein At4g35850, mitochondrial",protein-coding,Plant
Green,05-Dec,11,0,2,uncharacterized LOC102607801,protein-coding,Plant
Green,13-20,19,0,3,START domain-containing protein 10,protein-coding,Plant
Yellow,05-Dec,6,0,Un,isoflavone 7-O-methyltransferase,protein-coding,Plant
Green,05-Dec,6,1,Un,serine/threonine-protein kinase CTR1-like,protein-coding,Plant
Green,13-20,18,0,Un,probable sugar phosphate/phosphate translocator At1g06470,protein-coding,Plant
Green,13-20,19,1,Un,uncharacterized LOC102607806,protein-coding,Plant
Green,13-20,19,1,Un,hypothetical protein,protein-coding,Plant
Green,13-20,19,1,Un,UDP-glycosyltransferase 76B1-like,protein-coding,Plant
Green,13-20,20,1,3,transcription initiation factor TFIID subunit 13-like,protein-coding,Plant
Green,13-20,20,0,3,probable serine/threonine-protein kinase WNK9,protein-coding,Plant
Red,21-28,22,0,Un,"6,7-dimethyl-8-ribityllumazine synthase, chloroplastic",protein-coding,Plant
Green,13-20,19,0,3,AP-3 complex subunit mu,protein-coding,Plant
Yellow,21-28,22,0,4,2-dehydro-3-deoxyphosphooctonate aldolase,protein-coding,Plant
Green,13-20,16,0,3,acetyltransferase At1g77540,protein-coding,Plant
Green,13-20,19,1,3,uncharacterized LOC102607817,ncRNA,Plant
Green,05-Dec,7,0,Un,uncharacterized LOC102607819,protein-coding,Plant
Yellow,21-28,26,0,3,uncharacterized LOC102607820,protein-coding,Plant
Green,13-20,20,0,3,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase,protein-coding,Plant
Yellow,05-Dec,8,0,Un,disease resistance protein At4g27190-like,protein-coding,Plant
Green,21-28,25,1,3,thaumatin-like protein 1b,protein-coding,Plant
Green,21-28,26,0,Un,phosphatidylinositol 4-phosphate 5-kinase 6-like,protein-coding,Plant
Yellow,13-20,13,1,Un,transcription factor LHW-like,protein-coding,Plant
Green,13-20,17,0,4,histone H4,protein-coding,Plant
Green,13-20,16,0,4,26S proteasome non-ATPase regulatory subunit 11 homolog,protein-coding,Plant
Yellow,05-Dec,12,0,Un,uncharacterized LOC102607830,ncRNA,Plant
Green,05-Dec,5,0,Un,uncharacterized LOC102607831,protein-coding,Plant
Yellow,13-20,14,1,4,heavy metal-associated isoprenylated plant protein 47-like,protein-coding,Plant
Yellow,13-20,17,0,Un,uncharacterized LOC102607833,ncRNA,Plant
Green,13-20,14,0,4,glutathione hydrolase 3-like,protein-coding,Plant
Green,21-28,24,0,4,putative ABC transporter B family member 8,protein-coding,Plant
Yellow,13-20,15,1,4,"probable beta-1,3-galactosyltransferase 12",pseudo,Plant
Green,13-20,19,0,5,"28 kDa ribonucleoprotein, chloroplastic-like",protein-coding,Plant
Green,13-20,14,0,5,conserved oligomeric Golgi complex subunit 2,protein-coding,Plant
Green,21-28,24,1,5,hypothetical protein,protein-coding,Plant
Green,13-20,18,1,5,dCTP pyrophosphatase 1,protein-coding,Plant
Yellow,13-20,18,0,5,abietadienol/abietadienal oxidase,protein-coding,Plant
Green,13-20,13,0,5,endochitinase EP3-like,protein-coding,Plant
Green,05-Dec,6,0,5,3beta-hydroxysteroid-dehydrogenase/decarboxylase,protein-coding,Plant
Red,05-Dec,5,1,5,protein SRC1-like,protein-coding,Plant
Green,05-Dec,10,0,5,"protein OSB2, chloroplastic-like",protein-coding,Plant
Green,13-20,15,1,5,probable carboxylesterase 2,protein-coding,Plant
Green,13-20,16,0,6,reticulon-like protein B12,protein-coding,Plant
Yellow,05-Dec,7,1,6,copper transporter 6-like,protein-coding,Plant
Green,21-28,23,1,6,solute carrier family 35 member F1-like,protein-coding,Plant
Yellow,13-20,18,0,6,uncharacterized LOC102607850,protein-coding,Plant
Green,05-Dec,5,0,6,uncharacterized LOC102607851,protein-coding,Plant
Green,13-20,19,0,7,sister chromatid cohesion 1 protein 3,protein-coding,Plant
Yellow,13-20,18,1,7,leucine-rich repeat protein 1,protein-coding,Plant
Green,13-20,20,0,7,cytochrome b-c1 complex subunit 7-2,protein-coding,Plant
Green,05-Dec,10,1,7,hydroxyproline O-galactosyltransferase HPGT3,protein-coding,Plant
Green,13-20,16,1,7,uncharacterized LOC102607856,protein-coding,Plant
Yellow,13-20,19,1,7,F-box protein At1g67340,protein-coding,Plant
Green,13-20,17,0,7,F-box protein CPR1,protein-coding,Plant
Green,13-20,15,0,7,"maltose excess protein 1, chloroplastic-like",protein-coding,Plant
Green,05-Dec,7,1,7,phenylalanine ammonia-lyase,protein-coding,Plant
Yellow,13-20,17,1,1,uncharacterized LOC102607862,protein-coding,Plant
Green,13-20,18,1,7,probable WRKY transcription factor 70,protein-coding,Plant
Green,13-20,20,1,1,hypothetical protein,protein-coding,Plant
Green,13-20,15,0,7,uncharacterized LOC102607866,protein-coding,Plant
Green,13-20,14,0,7,wall-associated receptor kinase-like 20,protein-coding,Plant
Green,13-20,16,0,1,receptor-like serine/threonine-protein kinase SD1-6,protein-coding,Plant
Green,13-20,18,0,1,UDP-glycosyltransferase 73C3-like,protein-coding,Plant
Green,21-28,27,0,8,transcription factor MYB73-like,protein-coding,Plant
Green,13-20,15,0,1,pleiotropic drug resistance protein 1-like,pseudo,Plant
Green,05-Dec,9,1,8,SNF1-related protein kinase regulatory subunit gamma-1-like,pseudo,Plant
Green,05-Dec,11,0,8,kinesin-like protein KIN-7F,protein-coding,Plant
Green,13-20,17,0,1,protein Brevis radix-like 2,protein-coding,Plant
Yellow,13-20,20,1,8,pentatricopeptide repeat-containing protein At1g08610,protein-coding,Plant
Green,05-Dec,11,1,8,uncharacterized LOC102607879,pseudo,Plant
Green,05-Dec,9,1,1,"magnesium-transporting ATPase, P-type 1-like",protein-coding,Plant
Yellow,05-Dec,11,1,1,patatin-like protein 5,protein-coding,Plant
Green,13-20,20,0,1,hypothetical protein,protein-coding,Plant
Green,05-Dec,6,0,1,pentatricopeptide repeat-containing protein At5g66520,protein-coding,Plant
Green,13-20,14,0,8,transcription initiation factor IIA subunit 1,protein-coding,Plant
Green,05-Dec,7,0,2,hypothetical protein,protein-coding,Plant
Green,21-28,27,1,8,NAC domain-containing protein 2-like,protein-coding,Plant
Green,21-28,25,0,2,uncharacterized LOC102607887,protein-coding,Plant
Green,13-20,15,0,2,uncharacterized GPI-anchored protein At1g61900-like,protein-coding,Plant
Green,13-20,18,1,9,two-component response regulator ARR2-like,protein-coding,Plant
Green,13-20,20,1,2,sphingolipid delta(4)-desaturase DES1-like,protein-coding,Plant
Green,05-Dec,12,0,9,probable serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit TON2,protein-coding,Plant
Green,13-20,13,0,2,"RNA pseudouridine synthase 6, chloroplastic",protein-coding,Plant
Green,13-20,14,0,2,probable nucleolar protein 5-2,protein-coding,Plant
Green,13-20,16,0,9,CASP-like protein 5B3,protein-coding,Plant
Red,13-20,19,1,2,gamma-soluble NSF attachment protein,protein-coding,Plant
Green,05-Dec,11,0,2,subtilisin-like protease SBT5.4,protein-coding,Plant
Green,13-20,19,1,9,uncharacterized LOC102607897,protein-coding,Plant
Green,13-20,13,0,2,ribonuclease H2 subunit B,protein-coding,Plant
Green,05-Dec,10,1,2,double-stranded RNA-binding protein 3,protein-coding,Plant
Green,13-20,20,0,2,uncharacterized LOC102607900,protein-coding,Plant
Green,13-20,17,0,9,carboxylesterase 1-like,protein-coding,Plant
Green,21-28,24,0,9,remorin,protein-coding,Plant
Yellow,13-20,17,1,2,hypothetical protein,protein-coding,Plant
Green,05-Dec,9,1,9,putative two-component response regulator ARR21,protein-coding,Plant
Yellow,13-20,14,0,2,CRAL-TRIO domain-containing protein YKL091C,protein-coding,Plant
Green,13-20,18,1,9,polypyrimidine tract-binding protein homolog 2,protein-coding,Plant
Green,05-Dec,9,0,2,GDSL esterase/lipase At2g04570-like,protein-coding,Plant
Yellow,21-28,26,0,Un,hypothetical protein,protein-coding,Plant
Yellow,05-Dec,9,1,2,vignain-like,protein-coding,Plant
Red,21-28,23,1,Un,uncharacterized LOC102607910,protein-coding,Plant
Green,05-Dec,6,0,Un,subtilisin-like protease SBT4.4,protein-coding,Plant
Green,05-Dec,8,0,3,uncharacterized LOC102607912,protein-coding,Plant
Green,05-Dec,12,0,3,cell division control protein 2 homolog A-like,protein-coding,Plant
Yellow,13-20,20,1,3,uncharacterized LOC102607916,ncRNA,Plant
Green,13-20,16,0,Un,charged multivesicular body protein 7,protein-coding,Plant
Green,13-20,20,1,9,peroxidase A2,protein-coding,Plant
Green,13-20,19,1,Un,pentatricopeptide repeat-containing protein At2g32630,protein-coding,Plant
Green,13-20,17,0,3,magnesium transporter MRS2-3-like,protein-coding,Plant
Green,13-20,16,1,Un,uncharacterized LOC102607922,protein-coding,Plant
Green,13-20,13,0,3,CST complex subunit TEN1,protein-coding,Plant
Green,13-20,13,0,3,uncharacterized LOC102607924,protein-coding,Plant
Green,21-28,26,0,Un,WD repeat-containing protein 3,protein-coding,Plant
Green,21-28,21,1,Un,protein DJ-1 homolog B-like,protein-coding,Plant
Green,05-Dec,5,1,3,uncharacterized LOC102607927,protein-coding,Plant
Green,13-20,19,1,Un,uncharacterized LOC102607929,ncRNA,Plant
Green,05-Dec,9,1,Un,uncharacterized LOC102607930,pseudo,Plant
Red,13-20,15,1,3,protein WALLS ARE THIN 1,protein-coding,Plant
Yellow,13-20,13,1,3,"psbP domain-containing protein 3, chloroplastic",protein-coding,Plant
Yellow,05-Dec,6,1,4,uncharacterized LOC102607933,protein-coding,Plant
Green,13-20,18,1,4,probable xyloglucan endotransglucosylase/hydrolase protein 23,protein-coding,Plant
Red,13-20,20,1,Un,E3 ubiquitin-protein ligase ATL31-like,protein-coding,Plant
Green,05-Dec,8,0,Un,general transcription and DNA repair factor IIH subunit TFB2-like,protein-coding,Plant
Green,13-20,14,1,4,uncharacterized LOC102607937,protein-coding,Plant
Yellow,13-20,17,1,4,hypothetical protein,protein-coding,Plant
Green,05-Dec,11,0,4,F-box/kelch-repeat protein At3g06240-like,protein-coding,Plant
Green,13-20,17,0,4,"probable lactoylglutathione lyase, chloroplastic",protein-coding,Plant
Green,13-20,19,0,4,cytochrome P450 704B1,protein-coding,Plant
Green,13-20,16,0,5,uncharacterized LOC102607942,ncRNA,Plant
Green,13-20,20,1,5,uncharacterized LOC102607943,protein-coding,Plant
Green,13-20,17,0,5,uncharacterized LOC102607944,pseudo,Plant
Yellow,05-Dec,10,1,5,N-acylphosphatidylethanolamine synthase,protein-coding,Plant
Yellow,13-20,20,0,5,licodione synthase-like,pseudo,Plant
Green,05-Dec,6,0,5,anaphase-promoting complex subunit 13,protein-coding,Plant
Green,05-Dec,7,0,5,stellacyanin-like,protein-coding,Plant
Green,13-20,17,1,5,OTU domain-containing protein 6B,protein-coding,Plant
Green,13-20,20,0,5,blue-light photoreceptor PHR2,protein-coding,Plant
Green,05-Dec,8,1,5,protein DMR6-LIKE OXYGENASE 2-like,protein-coding,Plant
Red,21-28,25,0,5,"(R,S)-reticuline 7-O-methyltransferase-like",protein-coding,Plant
Green,05-Dec,5,0,6,FACT complex subunit SPT16,protein-coding,Plant
Green,05-Dec,6,1,6,uncharacterized LOC102607955,protein-coding,Plant
Green,13-20,18,0,6,uncharacterized LOC102607956,ncRNA,Plant
Green,05-Dec,8,1,6,UNC93-like protein 3,protein-coding,Plant
Green,05-Dec,11,0,6,caldesmon-like,protein-coding,Plant
Green,13-20,15,1,6,uncharacterized LOC102607959,ncRNA,Plant
Green,13-20,14,1,6,paired amphipathic helix protein Sin3-like 2,protein-coding,Plant
Green,05-Dec,7,0,7,F-box/WD-40 repeat-containing protein At3g52030,protein-coding,Plant
Yellow,05-Dec,12,0,7,ubiquitin carboxyl-terminal hydrolase 18,protein-coding,Plant
Yellow,13-20,13,0,7,non-specific lipid-transfer protein A-like,protein-coding,Plant
Green,13-20,16,1,7,protein DETOXIFICATION 21-like,protein-coding,Plant
Yellow,21-28,28,1,7,uncharacterized ATP-dependent helicase C29A10.10c,protein-coding,Plant
Green,13-20,13,0,7,hypothetical protein,protein-coding,Plant
Yellow,05-Dec,8,1,1,potassium transporter 7,protein-coding,Plant
Green,21-28,27,0,1,poly(rC)-binding protein 4,protein-coding,Plant
Red,21-28,27,1,7,uncharacterized LOC102607970,protein-coding,Plant
Green,13-20,19,1,7,"protein RETICULATA-RELATED 5, chloroplastic-like",protein-coding,Plant
Green,13-20,18,1,1,RNA polymerase II transcriptional coactivator KIWI,protein-coding,Plant
Green,05-Dec,5,1,1,uncharacterized LOC102607974,ncRNA,Plant
Green,13-20,20,1,8,proteasome subunit alpha type-7,protein-coding,Plant
Green,13-20,14,0,8,vacuolar-sorting receptor 3,protein-coding,Plant
Green,21-28,22,0,8,probable carboxylesterase 12,protein-coding,Plant
Yellow,05-Dec,8,0,1,protein DYAD,protein-coding,Plant
Green,13-20,18,0,8,uncharacterized LOC102607980,ncRNA,Plant
